Time,Route,Location,Person,Hour,Day,Month,Year,Gender,Situation
18/12/07 07:24,東北本線,陸前山王駅,,7,7,12,2018,,
18/12/07 05:21,中央快速線,三鷹駅,,5,7,12,2018,,
18/12/07 00:15,JR宝塚線,新三田駅,,0,7,12,2018,,
18/12/06 21:29,南武線,稲田堤駅,男性 / 30代 / 死亡,21,6,12,2018,1, 死亡
18/12/06 19:06,篠ノ井線,川中島駅,,19,6,12,2018,,
18/12/06 18:11,中央本線,土岐市駅,,18,6,12,2018,,
18/12/06 17:36,東武スカイツリーライン,北越谷駅〜大袋駅,,17,6,12,2018,,
18/12/06 12:42,学研都市線,大住駅〜松井山手駅,,12,6,12,2018,,
18/12/05 17:02,南海本線,七道駅,女性 / 10代 / 死亡,17,5,12,2018,0, 死亡
18/12/05 15:39,近鉄大阪線,松塚駅〜真菅駅,女性 / 70代 / 死亡,15,5,12,2018,0, 死亡
18/12/05 13:14,京阪本線,橋本駅〜樟葉駅,男性 / 死亡,13,5,12,2018,1, 死亡
18/12/04 16:17,東武東上線,森林公園駅,男性 / 死亡,16,4,12,2018,1, 死亡
18/12/04 10:17,中央・総武緩行線,小岩駅,,10,4,12,2018,,
18/12/04 00:36,中央快速線,八王子駅,,0,4,12,2018,,
18/12/03 22:01,大和路線,高井田駅〜柏原駅,男性 / 死亡,22,3,12,2018,1, 死亡
18/12/03 12:27,京急本線,汐入駅,女性 / 50代 / 重傷,12,3,12,2018,0, 重傷
18/12/02 20:24,東海道線,鷲津駅,,20,2,12,2018,,
18/12/02 16:49,琵琶湖線,彦根駅〜南彦根駅,女性 / 50代 / 重傷,16,2,12,2018,0, 重傷
18/12/02 10:23,常磐線,小木津駅,女性 / 死亡,10,2,12,2018,0, 死亡
18/12/01 18:20,松浦鉄道西九州線,江迎鹿町駅〜高岩駅,女性 / 軽傷,18,1,12,2018,0, 軽傷
18/12/01 16:45,東海道線,大垣駅〜垂井駅,,16,1,12,2018,,
18/12/01 10:51,京王線,芦花公園駅〜千歳烏山駅,,10,1,12,2018,,
18/11/30 17:49,中央・総武緩行線,津田沼駅,女性 / 70代 / 死亡,17,30,11,2018,0, 死亡
18/11/30 16:35,宇都宮線,赤羽駅,,16,30,11,2018,,
18/11/30 15:17,中央快速線,国分寺駅,女性,15,30,11,2018,0,女性
